,AGENT_EXECUTING,AGENT_EXECUTING_PENDING,AGENT_SCHEDULING,AGENT_SCHEDULING_PENDING,AGENT_STAGING_INPUT,AGENT_STAGING_INPUT_PENDING,AGENT_STAGING_OUTPUT,AGENT_STAGING_OUTPUT_PENDING,CANCELED,DONE,FAILED,NEW,UMGR_SCHEDULING,UMGR_SCHEDULING_PENDING,UMGR_STAGING_INPUT,UMGR_STAGING_INPUT_PENDING,UMGR_STAGING_OUTPUT,UMGR_STAGING_OUTPUT_PENDING,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,hid,pid,sid,uid,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_total,util_u_unschedule
0,114.39299988746643,114.39100003242493,114.38839983940125,114.39669990539551,114.38459992408752,112.43400001525879,251.34479999542236,251.33349990844727,,261.5465998649597,,112.37069988250732,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,251.37689995765686,136.94050002098083,,0.0019998550415039062,0.0026001930236816406,0.011399984359741211,0.0336000919342041,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000000,0.0065000057220458984,0.003799915313720703,,0.14890003204345703,,0.0587000846862793,136.94510006904602,
1,114.40659999847412,114.40289998054504,114.4006998538971,114.40960001945496,114.39869999885559,112.43400001525879,250.53829979896545,250.52619981765747,,261.5465998649597,,112.37309980392456,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,250.57369995117188,136.11959981918335,,0.0037000179290771484,0.0022001266479492188,0.011399984359741211,0.031200170516967773,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000001,0.0060999393463134766,0.005500078201293945,,0.14929986000061035,,0.04550004005432129,136.12610006332397,
2,114.42009997367859,114.4154999256134,114.41330003738403,114.42219996452332,114.41109991073608,112.43400001525879,255.15520000457764,255.1438000202179,,261.5465998649597,,112.37539982795715,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,255.18849992752075,140.7237000465393,,0.004600048065185547,0.002199888229370117,0.011399984359741211,0.028900146484375,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000002,0.006599903106689453,0.006400108337402344,,0.13680005073547363,,0.04340004920959473,140.7309000492096,
3,114.43439984321594,114.42820000648499,114.42589998245239,114.43470001220703,114.42369985580444,112.43400001525879,251.64660000801086,251.63520002365112,,261.5465998649597,,112.37789988517761,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,251.67839980125427,137.20080018043518,,0.006199836730957031,0.0023000240325927734,0.011399984359741211,0.026400089263916016,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000003,0.00690007209777832,0.008100032806396484,,0.12109994888305664,,0.044500112533569336,137.20990014076233,
4,114.44910001754761,114.44120001792908,114.43840003013611,114.44719982147217,114.43610000610352,112.43400001525879,253.05099987983704,253.03970003128052,,261.5465998649597,,112.38029980659485,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,253.0832998752594,138.5906000137329,,0.007899999618530273,0.00279998779296875,0.011399984359741211,0.024000167846679688,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000004,0.008199930191040039,0.010100126266479492,,0.10330009460449219,,0.04699993133544922,138.60140013694763,
5,114.4670000076294,114.4533998966217,114.45109987258911,114.45959997177124,114.44859981536865,112.43400001525879,250.73939990997314,250.7279999256134,,261.5465998649597,,112.38240003585815,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,250.78399991989136,136.260999917984,,0.01360011100769043,0.0023000240325927734,0.011399984359741211,0.021899938583374023,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000005,0.007400035858154297,0.015400171279907227,,0.09719991683959961,,0.047299861907958984,136.27740001678467,
6,114.48239994049072,114.46589994430542,114.46329998970032,114.47199988365173,114.46099996566772,112.43400001525879,251.2435998916626,251.2321000099182,,261.5465998649597,,112.38459992408752,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,251.2918999195099,136.7497000694275,,0.016499996185302734,0.002599954605102539,0.011399984359741211,0.019700050354003906,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000006,0.006700038909912109,0.018599987030029297,,0.10249996185302734,,0.04239988327026367,136.7690999507904,
7,114.49650001525879,114.47839999198914,114.47549986839294,114.48420000076294,114.47329998016357,112.43400001525879,250.78509998321533,250.72899985313416,,261.5465998649597,,112.38689994812012,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,250.81719994544983,136.23249983787537,,0.01810002326965332,0.0029001235961914062,0.011399984359741211,0.017400026321411133,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000007,0.006599903106689453,0.020400047302246094,,0.09779977798461914,,0.044500112533569336,136.25469994544983,
8,114.51160001754761,114.49029994010925,114.48769998550415,114.49650001525879,114.4854998588562,112.43400001525879,250.8183000087738,250.7300000190735,,261.5465998649597,,112.38899993896484,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,250.85139989852905,136.21840000152588,,0.021300077438354492,0.002599954605102539,0.011399984359741211,0.01530003547668457,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000008,0.006999969482421875,0.0233001708984375,,0.1034998893737793,,0.045799970626831055,136.2440001964569,
9,114.52609992027283,114.50319981575012,114.50029993057251,114.50899982452393,114.49799990653992,112.43400001525879,252.54929995536804,252.53779983520508,,261.5465998649597,,112.39129996299744,112.41569995880127,112.40429997444153,112.42829990386963,112.4186999797821,261.5426998138428,252.5823998451233,138.01169991493225,,0.022900104522705078,0.0028998851776123047,0.011399984359741211,0.013000011444091797,testrun,ccs.ornl.gov,pilot.0000,rp.session.titan-ext1.jrossyra.017614.0002,unit.000009,0.00690007209777832,0.02519989013671875,,0.10290002822875977,,0.048799991607666016,138.03769993782043,
